ID,Brand,Model,Color,Nib Size,Ink Color,Purchase Date,Price,Notes
112,Maped,Fountain Pen,white pattern,,blue,2023-01-01,85.0,2 cartridges included in pack
113,pierre cardin,EIFFEL TOWER,silver,,blue,2023-01-01,1000.0,"2 pen set : 1 Roller Pen , 1 Ball Pen"
114,LINC,uni-ball AIR UBA-188-M,orange,,blue,2022-08-01,80.0,Roller Ball Pen
115,pierre cardin,Romancy,pink-black,,blue,2022-06-01,140.0,Ball Pen
116,pierre cardin,LOOK Satin Gold,gold-blue,,blue,2022-11-01,200.0,Ball Pen
117,Luxor ROYALE,Elan Silver Finish,silver,,blue,2023-06-01,250.0,Ball Pen
118,Paperkraft,Chopin,black,,blue,2022-09-01,180.0,Ball Pen
119,Pentel,ENERGEL Metal Lite Gel Roller Pen BL447,blue,,blue,2022-10-01,150.0,Retractable gel Roller Pen
120,UNOMAX,Disnep FOUNTAIN MATE,blue,,blue,2022-06-01,50.0,2 cartridges free
121,NATARAJ PENS,ALL ROUNDER,blue,,blue,2023-11-01,10.0,Ball Pen
122,NATARAJ PENS,ALL ROUNDER,black,,black,2023-02-01,10.0,
123,pierre cardin,VELL FIRE,dark green,,blue,2023-04-01,200.0,Premium Roller Pen
124,pierre cardin,LOOK Gold,silver-black,,blue,2022-03-01,140.0,Ball Pen
125,PARKER,LATITUDE Shiny Chrome GT Ball Pen (Retractable),silver-black,,blue,2023-03-01,280.0,
126,pierre cardin,MONZA,black,,blue,2022-05-01,250.0,Gold Plated Clip Ball Pen
127,pierre cardin,BUSINESS,silver,,blue,2022-12-01,900.0,set of Ball Pen and brown Diary
128,pierre cardin,WHITE STALLION,white,,blue,2023-10-01,700.0,set of Calculator and Ball Pen
129,Flair,Writo-meter,"purple , red , blue",,blue,2023-04-01,70.0,set of 3 Ball Pen
130,WIN,GUIDE,blue,,blue,2023-12-01,15.0,Ball Pen
131,KGP Brandstore,Retractable Ball Pen-I,black,,blue,2023-01-01,50.0,with box
132,pierre cardin,MUSK Gold,red,,blue,2021-07-01,200.0,Sleek Ball Pen
133,Boat,Black Cat RT BP,black,,,2022-03-01,10.0,Ball Pen
134,LINC,SIGNETTA GOLD,black,,blue,2023-08-01,40.0,
135,Pentel,ENERGEL Click,black,,blue,2022-05-01,45.0,Retractable Gel Roller Pen
136,PARKER,VECTOR MATTE BLACK (GIFT SET),black,,blue,2022-08-01,650.0,"1 Ball Pen , 1 Credit Card Holder / Wallet set"
137,Flair,CARBONiX RT,black,,blue,2019-11-01,20.0,Retractable Ball Pen ; Pack Contains Flair CARBONiX II Pen
138,Flair,CARBONiX II,black,,,2023-01-01,10.0,Inside box of Flair CARBONiX RT ; Ball Pen
139,SUPRA,CHAMPION,transparent,,blue,2019-07-01,10.0,Ball Pen ; Contains SUPRA STRIKE Pen
140,SUPRA,STRIKE,yellowish-transparent,,blue,2023-01-01,5.0,Inside box of SUPRA CHAMPION ; Ball Pen
141,Flair,NOBEL,blue,,blue,2019-09-01,100.0,Designer Metal Ball Pen
142,WIN,KRAZY,white-grey,,blue,2016-01-01,10.0,Ball Pen
143,DOMS,X1,bluish-transparent,,blue,2023-01-01,5.0,Inside box of Flair NOBEL (blue) ; Ball Pen
144,Reynolds,Dominar,black,,,2023-01-01,10.0,Inside box of Flair NOBEL (blue) ; Ball Pen
145,LINC,glycer 10X,blue,,blue,2023-01-01,10.0,Inside box of Flair NOBEL (blue) ; Ball Pen
146,LINC,glycer,transparent,,blue,2023-01-01,10.0,Inside box of Flair NOBEL (blue) ; Ball Pen
147,cello,Gripper,transparent,0.5,blue,2023-01-01,5.0,Inside box of Flair NOBEL (blue) ; Ball Pen
148,TOTEM,FLEXI,pink,,blue,2019-08-01,10.0,Ball Pen
149,LINC,celeb,blue pattern,,blue,2019-07-01,10.0,Ball Pen
150,classmate,INSTAglide,blue,,blue,2018-11-01,20.0,Gel Pen
151,Luxor,PILOT V7 HI-TECPOINT,dark blue,0.7,blue,2020-05-01,60.0,Gel Pen
152,cello,POCKET,silver,0.7,blue,2019-11-01,10.0,Ball Pen
153,GRIPEX,SELF CENTRING BRASS HOLDER COMPASS,,,,2023-01-01,20.0,Geometry Compass
154,Maped,STUDY,,,,2019-03-01,105.0,Geometry Compass with Mechanical Pencil and Lead Box
155,SUPRA,READY,white,,blue,2023-01-01,10.0,Inside box of LINC polco ; Ball Pen
156,cello,Papersoft,blue,0.7,blue,2019-05-01,20.0,Ball Pen
157,Montex,Impression,black,,blue,2023-01-01,10.0,Ball Pen
158,Montex,Hy-Speed,transparent,,glitter blue,2023-01-01,5.0,
159,Reynolds,Aeroslim,black,,blue,2023-01-01,5.0,Ball Pen
160,Souvenir,Touchscreen Usable Pen / Pointer,silver,,,2023-01-01,10.0,Touchscreen mobile Laptop Pen
161,Souvenir,INFINITY Non-Sharpening Pencil with Whistle,yellow,,pencil,2023-01-01,10.0,Pencil
162,Souvenir,Unicorn Head with Light Pen,purple,,blue,2023-01-01,10.0,
163,Souvenir,Fake Diamond Stick Pen ( Baalveer Style ),transparent,,colourful,2023-01-01,10.0,
164,Souvenir,Pen : shape of Plant with a Pink Flower and 3 Small Leaves,green,,blue,2023-01-01,10.0,
165,Souvenir,Doraemon Pen with Doraemon Swing Head,blue,,blue,2023-01-01,10.0,
166,Reynolds,LIQUIFLO,blue,,,2023-01-01,10.0,
167,LINC,OILFLO,blue,,blue,2023-01-01,10.0,
168,Reynolds,Color gel Neon,colourful,,colourful,2013-08-01,75.0,Inside Pilsbury Free box
169,Unique,Shine,blue Cap- transparent body,,blue,2023-01-01,10.0,Ball Pen
170,HAUSER,EURO Gel,light blue cap- transparent body,,blue,2023-01-01,10.0,Gel Pen
171,cello,NOVA,dark blue cap- transparent body,,,2023-01-01,10.0,Ball Pen
172,PARAS,ideal Gel,blue cap- transparent body,,,2023-01-01,10.0,
173,HAUSER,Fluidic Ball Pen,transparent,,,2017-02-01,10.0,
174,Today's,KNOCK-2 Mechanical Pencil,,,pencil,2023-01-01,10.0,Mechanical Pencil
175,WIN,master-G,blue cap-silver body,,blue,2023-01-01,10.0,Ball Pen
176,cello,i-zone-gel,blue cap-silver body,,,2023-01-01,10.0,Gel Pen
177,Reynolds,brite,blue cap-transparent body,0.7,blue,2023-01-01,10.0,
178,cello,Mayfair,light blue,,blue,2023-01-01,10.0,
179,Rorito,Amazer Gel,black,0.5,black,2023-01-01,10.0,Gel Pen
180,PILOT,FRIXION CLICKER ball,blue,0.7,blue,2015-08-01,95.0,Erasable Ink
181,LINC,Executive SL-500,grey-silver,,black,2021-01-01,100.0,Gel Pen
182,Souvenir,Poosoju Vivek's Birthday Gift : Wooden Pen stand with Clock and Pen,wooden yellow,,,2023-08-23,50.0,
183,Souvenir,ISKCON Siliguri (Mayapur Pen) Red,red,,,2023-01-01,15.0,
184,Souvenir,ISKCON Siliguri (Mayapur Pen) Silver,silver,,,2023-01-01,15.0,
185,Souvenir,ISKCON Siliguri (Mayapur Pen) Green,green,,,2023-01-01,15.0,
186,Souvenir,ISKCON Siliguri (Mayapur Pen) Multi-colour Pattern,colourful,,,2023-01-01,15.0,
187,Souvenir,ISKCON MANDIR SILIGURI Wooden,wood-gold,,,2023-01-01,20.0,
188,Souvenir,Gangtok Pom-Pom Pen Red,red,,,2023-01-01,15.0,
189,Souvenir,Pokemon GO yellow Pen with Clapping Hands Head,yellow,,,2023-01-01,15.0,
190,Souvenir,Rubber Made Pen I <heart> SIKKIM ; Rubber Monkey Head,yellow,,,2023-01-01,15.0,
191,Souvenir,Rubber Made Pen SIKKIM ; Rubber Wedded Bear Head,red,,,2023-01-01,15.0,
192,Souvenir,Fake Diamond Stick Pen ( Baalveer Style ) with Additional Filled Crystals,"crystal-filled-transparent , blue",,,2023-01-01,15.0,
193,Souvenir,Golden Reigndeer Head Stick Pen with Additional Filled Crystals,"crystal-filled-transparent , gold",,,2023-01-01,15.0,
194,Souvenir,Rifle Model Pen,maroon-black,,,2023-01-01,15.0,
